level_0,owner,repo,action,month_start,month_end,time,intervention,time_after_intervention,merged,nonmerged,comments_merged,comments_nonmerged,close_time_merged,close_time_nonmerged,commits_merged,commits_nonmerged,lang,total_number_pr_authors,commits,opened,age_at_bot,name,index,bot_comments,action_primary_category,action_secondary_category,total_number_issues
0,0install,0install,actions/checkout,2019-09-20,2019-10-20,1,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Python,13,3316,0,90,0install/0install,1,0,Utilities,,52
1,0install,0install,actions/checkout,2019-10-20,2019-11-20,2,False,0.0,3,1,0.0,0.0,24.0,1512.0,1.0,0.0,Python,13,3316,3,90,0install/0install,2,0,Utilities,,52
2,0install,0install,actions/checkout,2019-11-20,2019-12-20,3,False,0.0,7,1,0.0,8.0,24.0,12360.0,2.0,2.0,Python,13,3316,8,90,0install/0install,3,0,Utilities,,52
3,0install,0install,actions/checkout,2019-12-20,2020-01-20,4,False,0.0,10,0,0.0,0.0,0.0,0.0,1.0,0.0,Python,13,3316,9,90,0install/0install,4,0,Utilities,,52
4,0install,0install,actions/checkout,2020-01-20,2020-02-20,5,False,0.0,4,0,0.0,0.0,0.0,0.0,2.5,0.0,Python,13,3316,4,90,0install/0install,5,0,Utilities,,52
5,0install,0install,actions/checkout,2020-02-20,2020-03-20,6,False,0.0,3,0,0.0,0.0,0.0,0.0,1.0,0.0,Python,13,3316,3,90,0install/0install,6,0,Utilities,,52
7,0install,0install,actions/checkout,2020-04-20,2020-05-21,8,True,1.0,8,1,0.0,1.0,0.0,24.0,1.0,1.0,Python,13,3316,8,90,0install/0install,8,0,Utilities,,52
8,0install,0install,actions/checkout,2020-05-21,2020-06-20,9,True,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Python,13,3316,1,90,0install/0install,9,0,Utilities,,52
9,0install,0install,actions/checkout,2020-06-20,2020-07-21,10,True,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Python,13,3316,0,90,0install/0install,10,0,Utilities,,52
10,0install,0install,actions/checkout,2020-07-21,2020-08-21,11,True,4.0,2,0,0.5,0.0,588.0,0.0,1.5,0.0,Python,13,3316,1,90,0install/0install,11,0,Utilities,,52
11,0install,0install,actions/checkout,2020-08-21,2020-09-20,12,True,5.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Python,13,3316,0,90,0install/0install,12,0,Utilities,,52
12,0install,0install,actions/checkout,2020-09-20,2020-10-21,13,True,6.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Python,13,3316,1,90,0install/0install,13,0,Utilities,,52
39,0xd4d,dnlib,actions/checkout,2019-03-11,2019-04-08,1,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,C#,27,1965,0,65,0xd4d/dnlib,1,0,Utilities,,0
40,0xd4d,dnlib,actions/checkout,2019-04-08,2019-05-09,2,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,C#,27,1965,0,65,0xd4d/dnlib,2,0,Utilities,,0
41,0xd4d,dnlib,actions/checkout,2019-05-09,2019-06-08,3,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,C#,27,1965,0,65,0xd4d/dnlib,3,0,Utilities,,0
42,0xd4d,dnlib,actions/checkout,2019-06-08,2019-07-09,4,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,C#,27,1965,1,65,0xd4d/dnlib,4,0,Utilities,,0
43,0xd4d,dnlib,actions/checkout,2019-07-09,2019-08-08,5,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,C#,27,1965,0,65,0xd4d/dnlib,5,0,Utilities,,0
44,0xd4d,dnlib,actions/checkout,2019-08-08,2019-09-08,6,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,C#,27,1965,0,65,0xd4d/dnlib,6,0,Utilities,,0
46,0xd4d,dnlib,actions/checkout,2019-10-09,2019-11-09,8,True,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,C#,27,1965,0,65,0xd4d/dnlib,8,0,Utilities,,0
47,0xd4d,dnlib,actions/checkout,2019-11-09,2019-12-09,9,True,2.0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,C#,27,1965,1,65,0xd4d/dnlib,9,0,Utilities,,0
48,0xd4d,dnlib,actions/checkout,2019-12-09,2020-01-09,10,True,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,C#,27,1965,0,65,0xd4d/dnlib,10,0,Utilities,,0
49,0xd4d,dnlib,actions/checkout,2020-01-09,2020-02-09,11,True,4.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,C#,27,1965,0,65,0xd4d/dnlib,11,0,Utilities,,0
50,0xd4d,dnlib,actions/checkout,2020-02-09,2020-03-09,12,True,5.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,C#,27,1965,0,65,0xd4d/dnlib,12,0,Utilities,,0
51,0xd4d,dnlib,actions/checkout,2020-03-09,2020-04-09,13,True,6.0,1,0,15.0,0.0,168.0,0.0,1.0,0.0,C#,27,1965,1,65,0xd4d/dnlib,13,0,Utilities,,0
65,29th,personnel-api,actions/checkout,2019-08-05,2019-09-05,1,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,PHP,3,589,0,63,29th/personnel-api,1,0,Utilities,,1
66,29th,personnel-api,actions/checkout,2019-09-05,2019-10-06,2,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,PHP,3,589,0,63,29th/personnel-api,2,0,Utilities,,1
67,29th,personnel-api,actions/checkout,2019-10-06,2019-11-05,3,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,PHP,3,589,0,63,29th/personnel-api,3,0,Utilities,,1
68,29th,personnel-api,actions/checkout,2019-11-05,2019-12-06,4,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,PHP,3,589,0,63,29th/personnel-api,4,0,Utilities,,1
69,29th,personnel-api,actions/checkout,2019-12-06,2020-01-05,5,False,0.0,3,0,0.0,0.0,0.0,0.0,1.0,0.0,PHP,3,589,2,63,29th/personnel-api,5,0,Utilities,,1
70,29th,personnel-api,actions/checkout,2020-01-05,2020-02-05,6,False,0.0,1,0,0.0,0.0,0.0,0.0,2.0,0.0,PHP,3,589,1,63,29th/personnel-api,6,0,Utilities,,1
